compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
26-diMN,saline,sterile_control,97,2014-12-04,107,NA,NA
DBT,saline,sterile_control,97,2014-12-04,107,NA,NA
PHEN,saline,sterile_control,97,2014-12-04,107,NA,NA
medium_only,brackish,medium_only_control,100,2014-12-04,107,NA,NA
medium_only,fresh,medium_only_control,100,2014-12-04,107,NA,NA
medium_only,saline,medium_only_control,100,2014-12-04,107,NA,NA
26-diMN,brackish,treatment,77,2014-12-18,121,18.2333333333333,11.6001436772711
DBT,brackish,treatment,77,2014-12-18,121,NA,NA
PHEN,brackish,treatment,77,2014-12-18,121,24.6666666666667,8.21360659718575
26-diMN,fresh,treatment,77,2014-12-18,121,13.7333333333333,8.7933687136008
DBT,fresh,treatment,77,2014-12-18,121,24.8,15.2538519725347
PHEN,fresh,treatment,77,2014-12-18,121,22.9,27.6815823247155
26-diMN,saline,treatment,77,2014-12-18,121,7.73333333333333,5.70730526021986
DBT,saline,treatment,77,2014-12-18,121,-4.06666666666667,0.577350269189626
PHEN,saline,treatment,77,2014-12-18,121,2.53333333333333,7.50355471315651
none,brackish,unamended_control,77,2014-12-18,121,NA,NA
none,fresh,unamended_control,77,2014-12-18,121,19.7,19.9369004612051
none,saline,unamended_control,77,2014-12-18,121,-5.1,2.2113344387496
26-diMN,brackish,sterile_control,97,2014-12-18,121,NA,NA
DBT,brackish,sterile_control,97,2014-12-18,121,NA,NA
PHEN,brackish,sterile_control,97,2014-12-18,121,NA,NA
26-diMN,fresh,sterile_control,97,2014-12-18,121,NA,NA
DBT,fresh,sterile_control,97,2014-12-18,121,NA,NA
PHEN,fresh,sterile_control,97,2014-12-18,121,NA,NA
26-diMN,saline,sterile_control,97,2014-12-18,121,NA,NA
DBT,saline,sterile_control,97,2014-12-18,121,NA,NA
PHEN,saline,sterile_control,97,2014-12-18,121,NA,NA
medium_only,brackish,medium_only_control,100,2014-12-18,121,NA,NA
medium_only,fresh,medium_only_control,100,2014-12-18,121,NA,NA
medium_only,saline,medium_only_control,100,2014-12-18,121,NA,NA
26-diMN,brackish,treatment,77,2015-01-08,142,25.0333333333333,16.8119996827663
DBT,brackish,treatment,77,2015-01-08,142,56.2,17.0361380600182
PHEN,brackish,treatment,77,2015-01-08,142,51.8666666666667,11.0654115754152
26-diMN,fresh,treatment,77,2015-01-08,142,15.8,10.4732993846256
DBT,fresh,treatment,77,2015-01-08,142,23.2333333333333,16.053763836974
PHEN,fresh,treatment,77,2015-01-08,142,25.5333333333333,35.5843130232035
26-diMN,saline,treatment,77,2015-01-08,142,14.1,4.5133136385587
DBT,saline,treatment,77,2015-01-08,142,-4.03333333333333,0.513160143944688
PHEN,saline,treatment,77,2015-01-08,142,4.46666666666667,9.30877722009359
none,brackish,unamended_control,77,2015-01-08,142,8.1,3.64965751817893
none,fresh,unamended_control,77,2015-01-08,142,12.5333333333333,26.3849073019659
none,saline,unamended_control,77,2015-01-08,142,-3.66666666666667,3.9677869566464
26-diMN,brackish,sterile_control,97,2015-01-08,142,NA,NA
DBT,brackish,sterile_control,97,2015-01-08,142,NA,NA
PHEN,brackish,sterile_control,97,2015-01-08,142,NA,NA
26-diMN,fresh,sterile_control,97,2015-01-08,142,NA,NA
DBT,fresh,sterile_control,97,2015-01-08,142,NA,NA
PHEN,fresh,sterile_control,97,2015-01-08,142,NA,NA
26-diMN,saline,sterile_control,97,2015-01-08,142,NA,NA
DBT,saline,sterile_control,97,2015-01-08,142,NA,NA
PHEN,saline,sterile_control,97,2015-01-08,142,NA,NA
medium_only,brackish,medium_only_control,100,2015-01-08,142,NA,NA
medium_only,fresh,medium_only_control,100,2015-01-08,142,NA,NA
medium_only,saline,medium_only_control,100,2015-01-08,142,NA,NA
26-diMN,brackish,treatment,77,2015-01-22,156,29,19.0549206243427
DBT,brackish,treatment,77,2015-01-22,156,53.8333333333333,16.2561783126703
PHEN,brackish,treatment,77,2015-01-22,156,57.0333333333333,10.3519724368515
26-diMN,fresh,treatment,77,2015-01-22,156,4.96666666666667,14.1227948131145
DBT,fresh,treatment,77,2015-01-22,156,27.6666666666667,12.761008319617
PHEN,fresh,treatment,77,2015-01-22,156,25.5666666666667,34.4936709170441
26-diMN,saline,treatment,77,2015-01-22,156,13.5,4.85077313425396
DBT,saline,treatment,77,2015-01-22,156,-6.5,0.519615242270663
PHEN,saline,treatment,77,2015-01-22,156,NA,NA
none,brackish,unamended_control,77,2015-01-22,156,6.8,4.5902069670114
none,fresh,unamended_control,77,2015-01-22,156,26.1333333333333,26.7047436485231
none,saline,unamended_control,77,2015-01-22,156,-4.63333333333333,5.38175931581238
26-diMN,brackish,sterile_control,97,2015-01-22,156,NA,NA
DBT,brackish,sterile_control,97,2015-01-22,156,NA,NA
PHEN,brackish,sterile_control,97,2015-01-22,156,NA,NA
26-diMN,fresh,sterile_control,97,2015-01-22,156,NA,NA
DBT,fresh,sterile_control,97,2015-01-22,156,NA,NA
PHEN,fresh,sterile_control,97,2015-01-22,156,NA,NA
26-diMN,saline,sterile_control,97,2015-01-22,156,NA,NA
DBT,saline,sterile_control,97,2015-01-22,156,NA,NA
PHEN,saline,sterile_control,97,2015-01-22,156,NA,NA
medium_only,brackish,medium_only_control,100,2015-01-22,156,NA,NA
medium_only,fresh,medium_only_control,100,2015-01-22,156,NA,NA
medium_only,saline,medium_only_control,100,2015-01-22,156,NA,NA
26-diMN,brackish,treatment,77,2015-02-05,170,39.1333333333333,26.2741951985847
DBT,brackish,treatment,77,2015-02-05,170,68.6666666666667,14.2468710014983
PHEN,brackish,treatment,77,2015-02-05,170,70.4666666666667,11.2518146684583
26-diMN,fresh,treatment,77,2015-02-05,170,16.6,12.3223374405995
DBT,fresh,treatment,77,2015-02-05,170,16,16.588248852727
PHEN,fresh,treatment,77,2015-02-05,170,29.9666666666667,41.7595897170139
26-diMN,saline,treatment,77,2015-02-05,170,17.8666666666667,3.65011415346607
DBT,saline,treatment,77,2015-02-05,170,-5.9,0.9
PHEN,saline,treatment,77,2015-02-05,170,4.4,10.3232746742494
none,brackish,unamended_control,77,2015-02-05,170,9.23333333333333,6.04345375868247
none,fresh,unamended_control,77,2015-02-05,170,29.3333333333333,34.5977359567549
none,saline,unamended_control,77,2015-02-05,170,-2.33333333333333,7.35141709695031
26-diMN,brackish,sterile_control,97,2015-02-05,170,NA,NA
DBT,brackish,sterile_control,97,2015-02-05,170,NA,NA
PHEN,brackish,sterile_control,97,2015-02-05,170,NA,NA
26-diMN,fresh,sterile_control,97,2015-02-05,170,NA,NA
DBT,fresh,sterile_control,97,2015-02-05,170,NA,NA
PHEN,fresh,sterile_control,97,2015-02-05,170,NA,NA
26-diMN,saline,sterile_control,97,2015-02-05,170,NA,NA
DBT,saline,sterile_control,97,2015-02-05,170,NA,NA
PHEN,saline,sterile_control,97,2015-02-05,170,NA,NA
medium_only,brackish,medium_only_control,100,2015-02-05,170,NA,NA
